,tickers
659,RELINFRA.csv
660,VBL.csv
661,INDSWFTLAB.csv
662,MARINE.csv
663,RHFL.csv
664,DPWIRES.csv
665,DIXON.csv
666,FDC.csv
667,SWANENERGY.csv
668,POWERGRID.csv
669,FELDVR.csv
670,HCL-INSYS.csv
671,ELECTCAST.csv
672,MATRIMONY.csv
673,WSI.csv
674,MUKTAARTS.csv
675,JISLJALEQS.csv
676,AEGISCHEM.csv
677,LASA.csv
678,FLEXITUFF.csv
679,IDBIGOLD.csv
680,EKC.csv
681,APLAPOLLO.csv
682,ATUL.csv
683,JPASSOCIAT.csv
684,LEMONTREE.csv
685,SUDARSCHEM.csv
686,RENUKA.csv
687,CYIENT.csv
688,AIRAN.csv
689,CHOLAHLDNG.csv
690,LIBERTSHOE.csv
691,NEULANDLAB.csv
692,UTIBANKETF.csv
693,BIOFILCHEM.csv
694,TERASOFT.csv
695,TINPLATE.csv
696,EDELWEISS.csv
697,KKCL.csv
698,NILAINFRA.csv
699,SUBCAPCITY.csv
700,VOLTAS.csv
701,KESORAMIND.csv
702,FACT.csv
703,TARC.csv
704,FMNL.csv
705,NRBBEARING.csv
706,TIRUPATIFL.csv
707,DSSL.csv
708,SSWL.csv
709,APOLLOPIPE.csv
710,STEL.csv
711,THEMISMED.csv
712,REMSONSIND.csv
713,MASTEK.csv
714,ZUARI.csv
715,ASTRON.csv
716,SHYAMCENT.csv
717,BLBLIMITED.csv
718,AMARAJABAT.csv
719,MAHABANK.csv
720,ALLSEC.csv
721,SJVN.csv
722,FAIRCHEMOR.csv
723,GOKUL.csv
724,JINDALSAW.csv
725,BAFNAPH.csv
726,ALPSINDUS.csv
727,OCCL.csv
728,LT.csv
729,BAJAJ-AUTO.csv
730,HAVISHA.csv
731,LTI.csv
732,SCHNEIDER.csv
733,UBL.csv
734,PREMIERPOL.csv
735,KOTAKNV20.csv
736,NIPPOBATRY.csv
737,RAIN.csv
738,SEQUENT.csv
739,NIITLTD.csv
740,PPL.csv
741,BCG.csv
742,BEDMUTHA.csv
743,BANKBARODA.csv
744,JAIBALAJI.csv
745,NH.csv
746,ARROWGREEN.csv
747,GOCLCORP.csv
748,BAJAJHLDNG.csv
749,DELTAMAGNT.csv
750,ORIENTELEC.csv
751,NBIFIN.csv
752,RUSHIL.csv
753,THANGAMAYL.csv
754,ALEMBICLTD.csv
755,IOB.csv
756,GENUSPAPER.csv
757,AGRITECH.csv
758,NAHARCAP.csv
759,ABFRL.csv
760,JAYBARMARU.csv
761,JAGSNPHARM.csv
762,AHLADA.csv
763,GAIL.csv
764,SOLARINDS.csv
765,GANECOS.csv
766,ASPINWALL.csv
767,BEARDSELL.csv
768,STAR.csv
769,SWELECTES.csv
770,PEL.csv
771,GOLDSHARE.csv
772,ORTEL.csv
773,POLYMED.csv
774,NFL.csv
775,SYMPHONY.csv
776,HIRECT.csv
777,DMART.csv
778,CENTURYPLY.csv
779,TEAMLEASE.csv
780,HATSUN.csv
781,HDFCAMC.csv
782,TOTAL.csv
783,LTTS.csv
784,WINDMACHIN.csv
785,KAJARIACER.csv
786,SYNGENE.csv
787,BALAJITELE.csv
788,FCL.csv
789,KOTAKBKETF.csv
790,ARENTERP.csv
791,AXISCADES.csv
792,ELGIEQUIP.csv
793,VIPIND.csv
794,SMLISUZU.csv
795,PRICOLLTD.csv
796,IIFLSEC.csv
797,VASWANI.csv
798,ENIL.csv
799,PFIZER.csv
800,CANTABIL.csv
801,CLEDUCATE.csv
802,DELTACORP.csv
803,DBREALTY.csv
804,TATAMTRDVR.csv
805,BAJAJHIND.csv
806,SUPRAJIT.csv
807,RGL.csv
808,GINNIFILA.csv
809,CERA.csv
810,PATINTLOG.csv
811,EXPLEOSOL.csv
812,BINDALAGRO.csv
813,ONWARDTEC.csv
814,NITINSPIN.csv
815,MEP.csv
816,MOREPENLAB.csv
817,IGARASHI.csv
818,SEAMECLTD.csv
819,BECTORFOOD.csv
820,TGBHOTELS.csv
821,TIMETECHNO.csv
822,GARFIBRES.csv
823,MAYURUNIQ.csv
824,DBCORP.csv
825,BYKE.csv
826,GODFRYPHLP.csv
827,CHAMBLFERT.csv
828,BHAGYAPROP.csv
829,CAREERP.csv
830,NIBL.csv
831,KPRMILL.csv
832,MITTAL.csv
833,FEL.csv
834,BROOKS.csv
835,CEATLTD.csv
836,MANINDS.csv
837,RANEENGINE.csv
838,HUBTOWN.csv
839,PSB.csv
840,ALOKINDS.csv
841,JKPAPER.csv
842,SPAL.csv
843,NBCC.csv
844,UNIVASTU.csv
845,GODREJCP.csv
846,HDFC.csv
847,DEEPAKFERT.csv
848,AMDIND.csv
849,ICICI500.csv
850,UGARSUGAR.csv
851,AAVAS.csv
852,LICNETFN50.csv
853,ICICILOVOL.csv
854,MOTILALOFS.csv
855,APOLLO.csv
856,NOCIL.csv
857,HGS.csv
858,MELSTAR.csv
859,ICICIALPLV.csv
860,RAMCOCEM.csv
861,JPPOWER.csv
862,OLECTRA.csv
863,EBBETF0430.csv
864,EXIDEIND.csv
865,INSPIRISYS.csv
866,PIDILITIND.csv
867,BURNPUR.csv
868,JMFINANCIL.csv
869,MURUDCERA.csv
870,BUTTERFLY.csv
871,HITECH.csv
872,BVCL.csv
873,VIVIDHA.csv
874,BALKRISHNA.csv
875,PTL.csv
876,LUMAXTECH.csv
877,VTL.csv
878,ICRA.csv
879,BGRENERGY.csv
880,NIACL.csv
881,WHEELS.csv
882,SPECIALITY.csv
883,MARKSANS.csv
884,WOCKPHARMA.csv
885,L&TFH.csv
886,ELGIRUBCO.csv
887,UJAAS.csv
888,TTKHLTCARE.csv
889,TNPETRO.csv
890,SUNDARMFIN.csv
891,NLCINDIA.csv
892,GSS.csv
893,KARURVYSYA.csv
894,DIGISPICE.csv
895,BAJAJFINSV.csv
896,KAMATHOTEL.csv
897,ROSSARI.csv
898,BASF.csv
899,ASIANPAINT.csv
900,JUBLINDS.csv
901,VESUVIUS.csv
902,DOLLAR.csv
903,GRASIM.csv
904,VIKASECO.csv
905,MANGCHEFER.csv
906,KINGFA.csv
907,PGEL.csv
908,SAFARI.csv
909,PONNIERODE.csv
910,AROGRANITE.csv
911,ASALCBR.csv
912,ITC.csv
913,QUICKHEAL.csv
914,VERTOZ.csv
915,KOTHARIPET.csv
916,SUVEN.csv
917,GULPOLY.csv
918,BSLNIFTY.csv
919,IL&FSENGG.csv
